OBJECTID;Id. Falla;Nom / Nombre;Secció / Seccion;Fallera Major / Fallera Mayor;President / Presidente;Artiste / Artista;Lema;Any Fundació / Año Fundacion;Distintiu / Distintivo;Esbós / Boceto;Falla Experimental;geo_shape;geo_point_2d
2722;162;Grups Mare de Déu del Carme;4;Yaiza Cristina Peleguer Tello;José Orihuela Peleguer;Emilio Tamarit Simón;Mares Natura;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_162_bi.jpg;;"{""coordinates"": [-0.3362753430532495, 39.475419874974605], ""type"": ""Point""}";39.475419874974605, -0.3362753430532495
2726;202;Humanista Mariner-Manuel Simó;20;Leyre Moreno Pineda;NO HAY;Alejandro Martínez Fernández;Cuidem del nostre mon;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_202_bi.jpg;;"{""coordinates"": [-0.393156667664378, 39.4608498631677], ""type"": ""Point""}";39.4608498631677, -0.393156667664378
2728;164;Pérez Galdós-Calixt III;15;Carla Hernández Asins;Pablo Bisbal Valiente;DANIEL SALVADOR ESTEVE;UN DESCUIT I EL BOSC S'ESFUMA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_164_bi.jpg;;"{""coordinates"": [-0.3910635928141643, 39.470385556098385], ""type"": ""Point""}";39.470385556098385, -0.3910635928141643
2730;105;Poeta Asins-Alegret-Puçol;11;NO HAY;NO HAY;Xavi Bonilla;Ja no tinc por;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_105_bi.jpg;;"{""coordinates"": [-0.3590476364111861, 39.48851710372428], ""type"": ""Point""}";39.48851710372428, -0.3590476364111861
2731;231;Poeta Alberola-Totana;6;NO HAY;NO HAY;Roberto Moratalla Gómez;'Records';;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_231_bi.jpg;;"{""coordinates"": [-0.3945874893461193, 39.46963974496845], ""type"": ""Point""}";39.46963974496845, -0.3945874893461193
2732;320;L'Equador-Alcalde Gurrea;8;Daniela Rozalén Hidalgo;Joel Domingo Soria;EMILIO TAMARIT SIMON;Imagin-ARTE;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_320_bi.jpg;;"{""coordinates"": [-0.3896801873425933, 39.493966044731], ""type"": ""Point""}";39.493966044731, -0.3896801873425933
2736;313;Poble, pl.-Sant Roc;21;Irene de Labra Bayarri;Jordi Gorbe Pérez;CRISTIAN CARRASCO;ENGABIATS,ESPERANT LA REALITAT.;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_313_bi.jpg;;"{""coordinates"": [-0.37810090265521634, 39.51719897361972], ""type"": ""Point""}";39.51719897361972, -0.37810090265521634
2738;83;Ciscar-Borriana;IE;Daniela Ariza Castejón;Nico Coll Mateu;RUBÉN ARCOS MARTÍ;AQUA DE VITA;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_083_bi.jpg;;"{""coordinates"": [-0.365254994765566, 39.46567682111124], ""type"": ""Point""}";39.46567682111124, -0.365254994765566
2739;243;Màlaga-Doctor Montoro;22;NO HAY;NO HAY;LA COMISIÓN;ESTE CASAL ES DE POR;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_243_bi.jpg;;"{""coordinates"": [-0.37971787058098133, 39.485265560367026], ""type"": ""Point""}";39.485265560367026, -0.37971787058098133
2741;67;Lluís Lamarca-Velázquez;14;Empar Soler González;Josep Vicent Viguer Saurí;Sacabutx Art;Tu l'has vist?;;;http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_067_bi.jpg;;"{""coordinates"": [-0.4015379487385201, 39.47117609313197], ""type"": ""Point""}";39.47117609313197, -0.4015379487385201
