objectid;Codigo;Jardin;Barrio;DM;Zona;Mantenimie;Tipo;CREATED_USER;CREATED_DATE;LAST_EDITED_USER;LAST_EDITED_DATE;geo_shape;geo_point_2d
92;99101122;Iglesia de Vera Pl;La Malva-Rosa;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.32970728183685255, 39.48420206376716], ""type"": ""Point""}";39.48420206376716, -0.32970728183685255
93;99101123;Carola Reig Salva Pl;Betero;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.33857397813375084, 39.47041677471436], ""type"": ""Point""}";39.47041677471436, -0.33857397813375084
95;99101128;Serreria C/ - Justo Vilar C/;Cabanyal-Canyamelar;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.33447314272886003, 39.46706223918951], ""type"": ""Point""}";39.46706223918951, -0.33447314272886003
96;99101130;Remonta C/;Cabanyal-Canyamelar;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.33072077575470954, 39.47464671747163], ""type"": ""Point""}";39.47464671747163, -0.33072077575470954
100;99101138;JJ Sister C/;El Grau;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3338307525882248, 39.45926791454811], ""type"": ""Point""}";39.45926791454811, -0.3338307525882248
104;99101145;Ingeniero Fausto Elio C/;La Malva-Rosa;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.331992701399182, 39.48147263583821], ""type"": ""Point""}";39.48147263583821, -0.331992701399182
115;99101213;Pintor Nicolau Pl;Aiora;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3487484733196541, 39.46637387807253], ""type"": ""Point""}";39.46637387807253, -0.3487484733196541
117;99101215;Guillem de Anglesola C/;Aiora;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.34514138922547444, 39.46619324317387], ""type"": ""Point""}";39.46619324317387, -0.34514138922547444
119;99101217;Peris Brell C/;Aiora;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.34722259816388185, 39.46510619975843], ""type"": ""Point""}";39.46510619975843, -0.34722259816388185
126;99101227;Alameda Pso - Fracia Av;Penya-Roja;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3550734127674013, 39.46086597646335], ""type"": ""Point""}";39.46086597646335, -0.3550734127674013
127;99101227;Alameda Pso - Fracia Av;Penya-Roja;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35568356819876396, 39.46104011106545], ""type"": ""Point""}";39.46104011106545, -0.35568356819876396
128;99101229;Luis Garcia Berlanga C/;Penya-Roja;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.34888568763389016, 39.457949989940474], ""type"": ""Point""}";39.457949989940474, -0.34888568763389016
130;99101232;Pinto Maella C/ y Adyacentes;Penya-Roja;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3475289859116881, 39.46028806474461], ""type"": ""Point""}";39.46028806474461, -0.3475289859116881
131;99101234;Francisco Bosch Pl;Cami Fondo;12.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35091614645367564, 39.46464132978005], ""type"": ""Point""}";39.46464132978005, -0.35091614645367564
138;99101301;Xuquer Pl;La Vega Baixa;13.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3504490204017069, 39.4761326215531], ""type"": ""Point""}";39.4761326215531, -0.3504490204017069
140;99101304;L'Alguer C7 - Isla Perdida C/;L'Illa Perduda;13.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3404444933564774, 39.47106721138895], ""type"": ""Point""}";39.47106721138895, -0.3404444933564774
4;99100408;Ricardo Mico C/;Les Tendetes;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3882985176380598, 39.48308334106868], ""type"": ""Point""}";39.48308334106868, -0.3882985176380598
5;99100408;Ricardo Mico C/;Les Tendetes;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.38809634093935746, 39.48278100833782], ""type"": ""Point""}";39.48278100833782, -0.38809634093935746
7;99100408;Ricardo Mico C/;Les Tendetes;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.38694912054871344, 39.4811339219121], ""type"": ""Point""}";39.4811339219121, -0.38694912054871344
22;99100434;Puerto de Santa Maria C/;Sant Pau;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.40042080078154907, 39.48610203503801], ""type"": ""Point""}";39.48610203503801, -0.40042080078154907
24;99100435;Pablo Picasso Pl y Adyacentes;Campanar;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.39803828302757116, 39.477008956710264], ""type"": ""Point""}";39.477008956710264, -0.39803828302757116
35;99100450;Riola C/ - Tamarindos Av;Sant Pau;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.4025569256568843, 39.479690887699455], ""type"": ""Point""}";39.479690887699455, -0.4025569256568843
36;99100451;Benifayo C/;Campanar;4.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3990001416281113, 39.48274263508941], ""type"": ""Point""}";39.48274263508941, -0.3990001416281113
39;99100455;Francisco Barrachina C/ - General Aviles Av;Benicalap;16.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3947800125921854, 39.48610470633707], ""type"": ""Point""}";39.48610470633707, -0.3947800125921854
40;99100455;Francisco Barrachina C/ - General Aviles Av;Benicalap;16.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3936182687239683, 39.486533766065286], ""type"": ""Point""}";39.486533766065286, -0.3936182687239683
43;99100501;Jardines del Real;Trinitat;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.36738646633787575, 39.48034488004918], ""type"": ""Point""}";39.48034488004918, -0.36738646633787575
46;99100503;Lerida C/;Morvedre;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.37564786595229505, 39.48375037894415], ""type"": ""Point""}";39.48375037894415, -0.37564786595229505
49;99100509;Joaquin Dualde Pl;Marxalenes;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3869682895971607, 39.48783227813089], ""type"": ""Point""}";39.48783227813089, -0.3869682895971607
51;99100510;Hermano Fabrilos C/ - Tierno Galvan Pl;Sant Antoni;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3710614651161383, 39.489117645463786], ""type"": ""Point""}";39.489117645463786, -0.3710614651161383
56;99100526;Avila Pl;Trinitat;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.37023665780031795, 39.48126114740527], ""type"": ""Point""}";39.48126114740527, -0.37023665780031795
58;99100529;Diputado Ricardo Samper Pl;Marxalenes;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.37861249493614435, 39.48614092612731], ""type"": ""Point""}";39.48614092612731, -0.37861249493614435
61;99100531;Bilbao C/ - San Bruno C/;Sant Antoni;5.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3715607131554108, 39.49017537301214], ""type"": ""Point""}";39.49017537301214, -0.3715607131554108
64;99100612;Gorgos C/;Ciutat Universitaria;6.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35429793001070536, 39.47738453092489], ""type"": ""Point""}";39.47738453092489, -0.35429793001070536
66;99100619;Belgica C/ - Aragon Av;Mestalla;6.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35554036452228743, 39.47450053593774], ""type"": ""Point""}";39.47450053593774, -0.35554036452228743
68;99100623;"Atleta Jose Andres ""El Roget"" Pl";Mestalla;6.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35881019858239765, 39.46852385446077], ""type"": ""Point""}";39.46852385446077, -0.35881019858239765
70;99100627;Islas Canarias C/ - Senda Senent C/;Mestalla;6.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35849329531213736, 39.46713636310471], ""type"": ""Point""}";39.46713636310471, -0.35849329531213736
73;99101101;JJ Domine Doctor C;El Grau;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.33131383953379984, 39.46180191711273], ""type"": ""Point""}";39.46180191711273, -0.33131383953379984
75;99101105;Hombres del Mar Pl;Cabanyal-Canyamelar;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.32626654563072977, 39.469150324124946], ""type"": ""Point""}";39.469150324124946, -0.32626654563072977
85;99101112;Campillo de Altobuey C/ y Adyacentes;Betero;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3343248108510392, 39.47423160644981], ""type"": ""Point""}";39.47423160644981, -0.3343248108510392
88;99101117;Dr. Lluch C/;Cabanyal-Canyamelar;11.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.32727542235542406, 39.47124074957921], ""type"": ""Point""}";39.47124074957921, -0.32727542235542406
175;99101345;Fray Luis Colomer Pl;La Carrasca;13.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3530894486405734, 39.47897980686324], ""type"": ""Point""}";39.47897980686324, -0.3530894486405734
178;99101404;Real de Gandia C/ - Antonio Sancho C/;Cami de Vera;14.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3541308532497946, 39.48641774733613], ""type"": ""Point""}";39.48641774733613, -0.3541308532497946
184;99101411;Rio Duero Pl;Benimaclet;14.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3601881563575437, 39.4824664739563], ""type"": ""Point""}";39.4824664739563, -0.3601881563575437
192;99101421;Emili Beut i Belenguer Pl;Cami de Vera;14.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35712739369189844, 39.48929565311787], ""type"": ""Point""}";39.48929565311787, -0.35712739369189844
193;99101425;Jose Maria Trenco Pl;Benimaclet;14.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.35866645151625515, 39.48524427925025], ""type"": ""Point""}";39.48524427925025, -0.35866645151625515
200;99101507;Motilla del Palancar C/;Els Orriols;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3681314978180238, 39.49062710887149], ""type"": ""Point""}";39.49062710887149, -0.3681314978180238
201;99101508;Hermanos Becquer Pl;Els Orriols;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.36889802391295545, 39.491141244088965], ""type"": ""Point""}";39.491141244088965, -0.36889802391295545
290;99110703;Archena C/;Soternes;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.4093371926102799, 39.472111154327386], ""type"": ""Point""}";39.472111154327386, -0.4093371926102799
293;99110712;Nou Moles Pl;Nou Moles;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39390225796196265, 39.471482932748216], ""type"": ""Point""}";39.471482932748216, -0.39390225796196265
297;99110719;Grupo Antonio Rueda;Tres Forques;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39814908840094837, 39.46450175641516], ""type"": ""Point""}";39.46450175641516, -0.39814908840094837
298;99110721;L'Emigrant Valencia C/ - Pintor Stolz C/;Nou Moles;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3976722545560574, 39.46919845287943], ""type"": ""Point""}";39.46919845287943, -0.3976722545560574
300;99110723;Maguncia Pl;Tres Forques;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.4010303410298285, 39.46544960545626], ""type"": ""Point""}";39.46544960545626, -0.4010303410298285
307;99110739;Cami Vell de Chirivella - Del Cid Av;Soternes;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.4142129938040672, 39.47046941544983], ""type"": ""Point""}";39.47046941544983, -0.4142129938040672
308;99110740;De Las Trece Rosas Pl;La Llum;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.41055566327078147, 39.4685477602286], ""type"": ""Point""}";39.4685477602286, -0.41055566327078147
310;99110742;Miguel Adlert Noguero Pl;La Llum;7.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.4119838887069838, 39.46748185171238], ""type"": ""Point""}";39.46748185171238, -0.4119838887069838
314;99110832;Torrente C/ - Tres Cruces Av;Vara de Quart;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.40343171077773904, 39.46092409865026], ""type"": ""Point""}";39.46092409865026, -0.40343171077773904
318;99110814;Doctor Marañon C/ - Montesa C/;Favara;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3938574205165082, 39.4549674577499], ""type"": ""Point""}";39.4549674577499, -0.3938574205165082
322;99110820;San Isidro C/;Sant Isidre;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.4067485780162071, 39.452721158155676], ""type"": ""Point""}";39.452721158155676, -0.4067485780162071
324;99110822;Jacinto Labaila C/ - Fontanars C/;Safranar;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39263787386435783, 39.45771111687655], ""type"": ""Point""}";39.45771111687655, -0.39263787386435783
326;99110825;La Safor Pl;Safranar;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39526612809948036, 39.45980524223133], ""type"": ""Point""}";39.45980524223133, -0.39526612809948036
330;99110829;Patraix PAI;Sant Isidre;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3991829695298981, 39.45443439591052], ""type"": ""Point""}";39.45443439591052, -0.3991829695298981
333;99110829;Patraix PAI;Sant Isidre;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.39797583362962696, 39.45798365494749], ""type"": ""Point""}";39.45798365494749, -0.39797583362962696
334;99110829;Patraix PAI;Sant Isidre;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3986476872326529, 39.460851169623616], ""type"": ""Point""}";39.460851169623616, -0.3986476872326529
339;99110837;Benimarfull Pl;Safranar;8.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.4004817410264767, 39.45890308574801], ""type"": ""Point""}";39.45890308574801, -0.4004817410264767
348;99110916;Ingeniero Jose Sirera C/ - San Pio X C/;Sant Marceli;9.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.38843631731985045, 39.44614345611054], ""type"": ""Point""}";39.44614345611054, -0.38843631731985045
349;99110919;Julio Verne Pl - Los Pedrones C/;L'Hort de Senabre;9.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3917369495329876, 39.45028261570401], ""type"": ""Point""}";39.45028261570401, -0.3917369495329876
356;99110934;Segovia Pl;L'Hort de Senabre;9.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.3911320940031002, 39.44913653710272], ""type"": ""Point""}";39.44913653710272, -0.3911320940031002
361;99111017;Dr Torrens Pl;Mont-Olivet;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.36471298237536354, 39.45788456999292], ""type"": ""Point""}";39.45788456999292, -0.36471298237536354
366;99111011;Bulevar SUR (IV) San Vicente C/ - Carrera Fuente de San Luis;Malilla;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.37865461439223835, 39.44572809988261], ""type"": ""Point""}";39.44572809988261, -0.37865461439223835
370;99111023;Escultor Victor Hino Pl;Malilla;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.37694112792993, 39.45213384773097], ""type"": ""Point""}";39.45213384773097, -0.37694112792993
372;99111025;Amado Granell Av - Peris y Valero Av;Mont-Olivet;10.0;SUR;SJ JARDINES SUR;Juegos Infantiles;;;;;"{""coordinates"": [-0.36168727764722375, 39.4550172887081], ""type"": ""Point""}";39.4550172887081, -0.36168727764722375
203;99101510;Obispo Laguarda Pl;Torrefiel;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3789501310506241, 39.49442920693799], ""type"": ""Point""}";39.49442920693799, -0.3789501310506241
204;99101511;Raco de l'Horta Pl y Adyacentes;Sant Llorens;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3594666269276976, 39.49187811132024], ""type"": ""Point""}";39.49187811132024, -0.3594666269276976
205;99101512;De Lazaro Cardenas Pl;Sant Llorens;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.36047552007540384, 39.489994062273276], ""type"": ""Point""}";39.489994062273276, -0.36047552007540384
210;99101518;Dolores Marques C7 - Valladolid Av;Sant Llorens;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.36163553494144907, 39.4899456243784], ""type"": ""Point""}";39.4899456243784, -0.36163553494144907
218;99101531;Maria Teresa Oller i Benlloch C/ - Rio Bidasoa C/;Torrefiel;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.37960035848830065, 39.497858535369645], ""type"": ""Point""}";39.497858535369645, -0.37960035848830065
221;99101536;Duque de Mandas C/ (Ermita de San Jeronimo);Els Orriols;15.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.3693251308493216, 39.49316071603434], ""type"": ""Point""}";39.49316071603434, -0.3693251308493216
226;99101606;Poeta Serrano Clavero C/;Benicalap;16.0;NORTE;SJ JARDINES NORTE;Juegos Infantiles;;;;;"{""coordinates"": [-0.38931019089183394, 39.49209443199854], ""type"": ""Point""}";39.49209443199854, -0.38931019089183394
